formula,year
Cd0.04In0.96,1913
Cd0.026Pb0.974,1913
Cd0.03In0.97,1913
Bi0.094Pb0.901,1913
Sb0.06Sn0.94,1913
Sb0.08Sn0.92,1913
Sb0.05Sn0.95,1913
Sb0.04Sn0.96,1913
Pb0.9Sn0.1,1913
Pb1,1913
Pb0.9Sb0.1,1913
Pb0.99Sb0.01,1913
Pb0.95Sn0.05,1913
Pb0.977Sn0.023,1913
Pb0.01Sn0.99,1913
Pb0.95Sb0.05,1913
In0.955Pb0.045,1913
In0.95Pb0.05,1913
Sb0.011Sn0.989,1913
Sb0.02Sn0.98,1913
In0.961Pb0.039,1913
Bi0.055Sn0.945,1913
Bi0.04Sn0.96,1913
Ga0.02Sn0.98,1913
Ga0.01Sn0.99,1913
Ga0.05Sn0.95,1913
Ga0.04Sn0.96,1913
In0.1Pb0.9,1913
In0.087Pb0.913,1913
In0.08Pb0.92,1913
In0.96Pb0.04,1913
In0.966Mg0.034,1913
In0.05Sn0.95,1913
Bi0.1Sn0.9,1913
Bi0.1Pb0.9,1913
Bi0.015In0.985,1913
Pb0.9Tl0.1,1913
Bi0.02In0.98,1913
Bi0.019In0.981,1913
Bi0.045Sn0.955,1913
Bi0.06Sn0.94,1913
Bi0.08Sn0.92,1913
In0.075Sn0.925,1913
Bi0.05Sn0.95,1913
In1,1913
In0.017Sn0.983,1913
In0.012Sn0.988,1913
In6Sn94,1913
Bi0.02Sn0.98,1913
In0.046Sn0.954,1913
In0.005Tl0.995,1919
Cd0.1Tl0.9,1919
Hg0.004Tl0.996,1919
Hg0.009Tl0.991,1919
H0.04Ta0.96,1928
H0.08Ta0.92,1928
Cd11La1,1928
Cd0.9Mg0.1,1928
Cd0.96Mg0.04,1928
Cd1,1928
Th0.998U0.002,1929
Th0.999U0.001,1929
Ce0.02Th0.98,1929
Ce0.025Th0.975,1929
Th1U0.025,1929
Th1U0.05,1929
Th0.999U0.1,1929
N0.003Nb0.997,1930
W0.9Zr0.1,1930
Nb0.9Pt0.1,1930
Ge0.045Nb0.955,1930
Ir0.1Nb0.9,1930
Sn0.057V0.943,1930
Sn0.04V0.96,1930
Sn0.025V0.975,1930
Os0.1W0.9,1930
Ti0.03V0.97,1930
Ti0.01V0.99,1930
Ti0.013V0.987,1930
Nb0.92Sn0.08,1930
Si0.025V0.975,1930
Si0.05V0.95,1930
Nb0.9Zr0.1,1930
Si0.01V0.99,1930
Cr0.1Nb0.9,1930
Cr0.071Nb0.929,1930
Cr0.05Nb0.95,1930
Si0.005V0.995,1930
Nb1,1930
Os0.075W0.925,1930
Ti0.1V0.9,1930
V1,1930
V0.97O0.03,1930
Os0.065Re0.935,1932
