label,cif,icsd_collection_code,source,train_test_label,formula,Tc
1,split_cifs_by_csv_label/train/Ag0.002Al0.998-ICSD-604645-synth_doped.cif,604645.0,3DSC,train,Ag0.002Al0.998,1.128
1,split_cifs_by_csv_label/train/Ag0.005Zn0.995-ICSD-107744-synth_doped.cif,107744.0,3DSC,train,Ag0.005Zn0.995,0.763
1,split_cifs_by_csv_label/train/Ag0.02Ge2Pd1.98Sr1-ICSD-165985-synth_doped.cif,165985.0,3DSC,train,Ag0.02Ge2Pd1.98Sr1,2.64
1,split_cifs_by_csv_label/test/Ag0.07Sn0.9Te1-ICSD-19128-synth_doped.cif,19128.0,3DSC,test,Ag0.07Sn0.9Te1,1.73
1,split_cifs_by_csv_label/train/Ag0.15Sn0.85Te1-ICSD-652741-synth_doped.cif,652741.0,3DSC,train,Ag0.15Sn0.85Te1,2.15
1,split_cifs_by_csv_label/train/Ag0.1Ge2Pd1.9Sr1-ICSD-165985-synth_doped.cif,165985.0,3DSC,train,Ag0.1Ge2Pd1.9Sr1,2.62
1,split_cifs_by_csv_label/train/Ag0.1In0.9Te1-ICSD-640614-synth_doped.cif,640614.0,3DSC,train,Ag0.1In0.9Te1,1.2
1,split_cifs_by_csv_label/train/Ag0.1Sn0.87Te1-ICSD-19128-synth_doped.cif,19128.0,3DSC,train,Ag0.1Sn0.87Te1,1.83
1,split_cifs_by_csv_label/train/Ag0.2Ge2Pd1.8Sr1-ICSD-165985-synth_doped.cif,165985.0,3DSC,train,Ag0.2Ge2Pd1.8Sr1,2.52
1,split_cifs_by_csv_label/train/Ag0.2In0.8Te1-ICSD-110798-synth_doped.cif,110798.0,3DSC,train,Ag0.2In0.8Te1,0.77
1,split_cifs_by_csv_label/train/Ag0.2Sn0.8Te1-ICSD-19128-synth_doped.cif,19128.0,3DSC,train,Ag0.2Sn0.8Te1,1.863333333
1,split_cifs_by_csv_label/train/Ag0.4Sn0.6Te1-ICSD-52608-synth_doped.cif,52608.0,3DSC,train,Ag0.4Sn0.6Te1,1.95
1,split_cifs_by_csv_label/train/Ag0.5Al0.5Th2-ICSD-604720.cif,604720.0,3DSC,train,Ag0.5Al0.5Th2,0.78
1,split_cifs_by_csv_label/train/Ag0.5Ba1Si1.5-ICSD-410520.cif,410520.0,3DSC,train,Ag0.5Ba1Si1.5,1.21
1,split_cifs_by_csv_label/train/Ag0.5Pd0.5Th2-ICSD-605669.cif,605669.0,3DSC,train,Ag0.5Pd0.5Th2,1.2
1,split_cifs_by_csv_label/test/Ag0.625Al0.375-ICSD-107717-synth_doped.cif,107717.0,3DSC,test,Ag0.625Al0.375,0.106
1,split_cifs_by_csv_label/train/Ag0.65Al0.35-ICSD-107717-synth_doped.cif,107717.0,3DSC,train,Ag0.65Al0.35,0.1
1,split_cifs_by_csv_label/train/Ag0.667Al0.333-ICSD-107717.cif,107717.0,3DSC,train,Ag0.667Al0.333,0.126
1,split_cifs_by_csv_label/test/Ag0.6Al0.4-ICSD-107717-synth_doped.cif,107717.0,3DSC,test,Ag0.6Al0.4,0.088
